KPI,Logic ID,Indicator Name,Operation,Pre-Check Value,Post-Check Value,Result
1_Show_Running_Config,1,0/LC0,equals,0/LC0,0/LC0,TRUE
1_Show_Running_Config,1,GCC10/10/0/0,equals,GCC10/10/0/0,GCC10/10/0/0,TRUE
1_Show_Running_Config,1,0/LC1,equals,0/LC1,0/LC1,TRUE
1_Show_Running_Config,1,TenGigE0/0/0/6/0,equals,TenGigE0/0/0/6/0,TenGigE0/0/0/6/0,TRUE
1_Show_Running_Config,1,TenGigE0/4/0/11,equals,TenGigE0/4/0/11,TenGigE0/4/0/11,TRUE
1_Show_Running_Config,1,TenGigE0/4/0/61.1,equals,TenGigE0/4/0/61.1,TenGigE0/4/0/61.1,TRUE
1_Show_Running_Config,1,Optics0/2/0/0,equals,Optics0/2/0/0,Optics0/2/0/0,TRUE
1_Show_Running_Config,1,Optics0/2/0/1,equals,Optics0/2/0/1,Optics0/2/0/1,TRUE
1_Show_Running_Config,1,ODU40/6/0/1,equals,ODU40/6/0/1,ODU40/6/0/1,TRUE
1_Show_Running_Config,1,HundredGigE0/0/0/6,equals,HundredGigE0/0/0/6,HundredGigE0/0/0/6,TRUE
1_Show_Running_Config,1,HundredGigE0/0/0/6.4001,equals,HundredGigE0/0/0/6.4001,HundredGigE0/0/0/6.4001,TRUE
1_Show_Running_Config,1,GCC10/6/0/1,equals,GCC10/6/0/1,GCC10/6/0/1,TRUE
1_Show_Running_Config,1,HundredGigE0/8/0/111,equals,HundredGigE0/8/0/111,HundredGigE0/8/0/111,TRUE
1_Show_Running_Config,1,GCC10/10/0/1,equals,GCC10/10/0/1,GCC10/10/0/1,TRUE
1_Show_Running_Config,1,HundredGigE0/12/0/6,equals,HundredGigE0/12/0/6,HundredGigE0/12/0/6,TRUE
1_Show_Running_Config,1,HundredGigE0/12/0/6.4001,equals,HundredGigE0/12/0/6.4001,HundredGigE0/12/0/6.4001,TRUE
1_Show_Running_Config,1,GCC10/14/0/0,equals,GCC10/14/0/0,GCC10/14/0/0,TRUE
1_Show_Running_Config,1,GCC10/14/0/1,equals,GCC10/14/0/1,GCC10/14/0/1,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface HundredGigE0/8/0/10.4001,equals, interface HundredGigE0/8/0/10.4001, interface HundredGigE0/8/0/10.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface FortyGigE0/4/0/1.4001,equals, interface FortyGigE0/4/0/1.4001, interface FortyGigE0/4/0/1.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface FortyGigE0/4/0/6.4001,equals, interface FortyGigE0/4/0/6.4001, interface FortyGigE0/4/0/6.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface FortyGigE0/8/0/1.4001,equals, interface FortyGigE0/8/0/1.4001, interface FortyGigE0/8/0/1.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface FortyGigE0/8/0/6.4001,equals, interface FortyGigE0/8/0/6.4001, interface FortyGigE0/8/0/6.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface HundredGigE0/3/0/10.4001,equals, interface HundredGigE0/3/0/10.4001, interface HundredGigE0/3/0/10.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface HundredGigE0/8/0/11.4001,equals, interface HundredGigE0/8/0/11.4001, interface HundredGigE0/8/0/11.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface HundredGigE0/12/0/10.4001,equals, interface HundredGigE0/12/0/10.4001, interface HundredGigE0/12/0/10.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface HundredGigE0/12/0/11.4001,equals, interface HundredGigE0/12/0/11.4001, interface HundredGigE0/12/0/11.4001,TRUE
36_Verify_NCS4K_Frr_Enabled_On_MPLS_TE_Ports,1,interface HundredGigE0/4/0/11.4001,equals, interface HundredGigE0/4/0/11.4001, interface HundredGigE0/4/0/11.4001,TRUE
